,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
156,43931,30.0,4.3,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,32,20002.520251332742
157,22200,32.0,4.2,Windy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,41,20002.520251332742
158,21952,25.0,4.7,Cloudy,Low,2,Drinks,scooter,0.0,No,Metropolitian,23,20002.520251332055
159,28324,35.0,4.6,Windy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,26,20002.520251332055
160,4113,20.0,4.8,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,12,20002.520251332055
161,45195,32.0,4.1,Windy,Jam,2,Snack,scooter,1.0,No,Metropolitian,32,20002.520251332055
162,792,35.0,4.5,Stormy,Jam,1,Meal,scooter,3.0,Yes,Metropolitian,44,20002.520251332055
163,12976,37.0,4.4,Sandstorms,High,0,Meal,motorcycle,1.0,No,Metropolitian,42,20002.520251332055
164,4529,34.0,4.7,Sunny,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,25,20002.520251332055
165,9204,34.0,4.9,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,27,20002.520251332055
166,20959,28.0,4.8,Sandstorms,Low,2,Meal,motorcycle,1.0,No,Urban,14,20002.520251332055
167,18334,37.0,5.0,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,28,20002.520251332055
168,24291,29.0,4.9,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,22,20002.520251332055
169,26442,30.0,4.9,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,24,20002.520251332055
170,44473,24.0,4.8,Windy,High,2,Meal,electric_scooter,0.0,No,Urban,12,20002.520251332055
171,18555,37.0,4.5,Cloudy,Jam,0,Buffet,motorcycle,0.0,Yes,Urban,45,20002.520251332055
172,1531,34.0,4.8,Sandstorms,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,25,20002.520251332055
173,22150,39.0,4.0,Stormy,Jam,0,Snack,motorcycle,3.0,No,Semi-Urban,49,20002.520251332055
174,38199,27.0,4.9,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,16,20002.520251329926
175,17703,32.0,4.7,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,22,20002.520251329926
176,10941,37.0,4.6,Fog,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,24,20002.520251329926
177,43529,28.0,4.6,Sunny,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,20002.520251329926
178,1809,35.0,4.8,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,21,20002.520251329926
179,6161,28.0,4.7,Windy,Low,1,Snack,motorcycle,1.0,No,Urban,19,20002.520251329926
180,20628,20.0,4.8,Stormy,High,0,Snack,motorcycle,,No,Metropolitian,27,20002.520251329926
181,24814,,,,,3,Snack,scooter,1.0,No,Metropolitian,30,20002.520251329926
182,5625,25.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,12,20002.520251329926
183,17115,38.0,4.9,Windy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,44,20002.520251329926
184,44580,28.0,4.9,Fog,Jam,0,Meal,motorcycle,1.0,No,Urban,27,20002.520251329926
185,7035,30.0,4.2,Stormy,Jam,0,Drinks,motorcycle,1.0,Yes,Semi-Urban,54,20002.520251329177
186,32131,33.0,4.5,Fog,High,1,Drinks,motorcycle,0.0,No,Metropolitian,25,20002.520251329177
187,31208,28.0,4.3,Fog,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,36,20002.520251329177
188,2326,24.0,4.6,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,18,20002.520251329177
189,1893,30.0,4.8,Cloudy,Medium,0,Meal,motorcycle,1.0,Yes,Urban,43,20002.520251329177
190,15146,28.0,4.6,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,11,20002.520251329177
191,22342,28.0,4.8,Cloudy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,16,20002.520251329177
192,34739,33.0,5.0,Stormy,Medium,2,Snack,electric_scooter,1.0,No,,32,20002.520251329177
193,44921,36.0,4.7,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,34,20002.520251329177
194,21694,,,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,27,20002.520251329177
195,21722,33.0,4.8,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Urban,30,20002.520251329177
196,7410,39.0,4.2,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,35,20002.520251329177
197,14445,28.0,4.9,Stormy,Jam,2,Buffet,scooter,1.0,No,Urban,25,20002.520251329177
198,16541,21.0,4.7,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Urban,19,20002.520251329177
199,39797,29.0,4.7,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,24,20002.520251327653
200,33391,23.0,3.5,Sunny,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,32,20002.520251327653
201,7984,28.0,4.7,Fog,High,2,Drinks,motorcycle,1.0,No,Metropolitian,26,20002.520251327653
202,27077,29.0,5.0,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,13,20002.520251327653
203,16221,32.0,4.9,Sunny,Low,1,Snack,scooter,0.0,No,Metropolitian,16,20002.520251327653
204,35497,37.0,5.0,Stormy,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,44,20002.520251327653
205,35821,27.0,4.7,Fog,Low,1,Buffet,scooter,0.0,No,Metropolitian,24,20002.520251327653
206,37531,26.0,4.8,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,22,20002.520251327653
207,31377,20.0,4.9,Stormy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,12,20002.520251327653
208,26906,32.0,4.6,Sandstorms,Low,1,Meal,scooter,1.0,No,Metropolitian,25,20002.520251327653
209,44477,39.0,4.9,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,40,20002.520251320853
210,21661,22.0,4.8,Stormy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,26,20002.520251320853
211,8769,26.0,4.8,Sunny,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,16,20002.520251320853
212,6228,23.0,5.0,Fog,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,35,20002.520251320853
213,40482,22.0,4.6,Sunny,Jam,1,Buffet,scooter,0.0,No,Metropolitian,15,20002.520251320853
214,33049,31.0,4.7,Sunny,Medium,1,Buffet,motorcycle,0.0,No,Urban,29,20002.520251320853
215,3617,32.0,4.9,Cloudy,Jam,0,Buffet,motorcycle,3.0,Yes,Urban,51,20002.520251320853
216,20596,31.0,4.5,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Urban,27,20002.520251320853
217,21060,24.0,4.5,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Urban,10,20002.520251320853
218,31051,30.0,4.6,Sandstorms,High,1,Meal,scooter,1.0,No,Metropolitian,27,20002.520251320853
219,24206,34.0,4.9,Fog,Jam,1,Meal,motorcycle,3.0,Yes,Metropolitian,47,20002.520251320853
220,41061,31.0,4.8,Cloudy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,38,20002.520251320853
221,41513,36.0,4.6,Cloudy,Low,2,Drinks,motorcycle,0.0,No,Urban,25,20002.520251320853
222,16081,32.0,4.6,Windy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,30,20002.520251320722
223,8780,34.0,4.7,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,27,20002.520251320722
224,16395,36.0,4.8,Stormy,Low,1,Buffet,motorcycle,0.0,No,Urban,17,20002.520251320722
225,14177,29.0,4.7,Stormy,Low,2,Buffet,scooter,1.0,No,Metropolitian,15,20002.520251320722
226,27864,35.0,4.8,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,21,20002.520251320722
227,5240,39.0,4.7,Sunny,Low,1,Drinks,scooter,0.0,No,Metropolitian,13,20002.520251320722
228,22410,31.0,4.5,Sandstorms,High,1,Snack,scooter,0.0,No,Urban,28,20002.520251320722
229,9246,34.0,3.9,Windy,Jam,1,Buffet,scooter,1.0,No,Urban,36,20002.520251320722
230,28475,21.0,4.1,Fog,High,1,Snack,scooter,1.0,No,Metropolitian,31,20002.520251320722
231,45121,36.0,4.8,Stormy,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,27,20002.520251320722
232,9824,30.0,4.7,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,22,20002.520251320722
233,37878,25.0,4.6,Sandstorms,Low,2,Snack,electric_scooter,0.0,No,Metropolitian,10,20002.520251320722
234,45179,22.0,4.7,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,43,20002.52025131765
235,12558,31.0,3.8,Sandstorms,Jam,2,Snack,scooter,0.0,No,Metropolitian,42,20002.52025131765
236,25132,25.0,4.6,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,18,20002.52025131765
237,23684,22.0,4.7,Fog,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,19,20002.52025131765
238,13094,38.0,4.9,Cloudy,Low,1,Drinks,scooter,1.0,No,Metropolitian,18,20002.52025131765
239,36912,39.0,4.7,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,19,20002.52025131765
240,17687,38.0,4.3,Stormy,Medium,1,Snack,scooter,2.0,No,Metropolitian,37,20002.52025131765
241,8782,34.0,4.6,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,48,20002.52025131765
242,10274,31.0,4.6,Windy,Medium,1,Drinks,motorcycle,1.0,No,,27,20002.52025131765
243,24887,24.0,4.8,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,22,20002.52025131765
244,7907,36.0,4.9,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,26,20002.52025131765
245,23875,35.0,4.5,Windy,High,2,Snack,scooter,0.0,No,Metropolitian,29,20002.52025131765
246,5546,35.0,4.8,Windy,Low,2,Meal,scooter,1.0,No,Urban,24,20002.520251317605
247,8916,29.0,4.2,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Urban,26,20002.520251317605
