ID,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
30,28,4.5,Windy,Low,0,Buffet,motorcycle,1,No,Urban,19,17.07381305
31,30,4.4,Fog,Jam,2,Snack,scooter,2,No,Metropolitian,40,20.44292976
32,,,Sunny,Jam,1,Drinks,motorcycle,0,No,Metropolitian,28,13.76377859
33,35,4.6,Windy,Medium,0,Snack,motorcycle,,No,Metropolitian,31,16.47648132
34,25,5,Sandstorms,Jam,2,Buffet,scooter,0,No,Metropolitian,25,17.29786575
35,,,,,3,Meal,scooter,0,No,Metropolitian,37,13.6123932
36,26,4.7,Windy,Jam,2,Meal,electric_scooter,1,No,Metropolitian,26,9.121425982
37,37,4.9,Sunny,Low,2,Buffet,electric_scooter,1,No,Metropolitian,25,16.7212881
38,32,4.8,Sandstorms,High,1,Snack,scooter,1,No,Metropolitian,25,6.117219096
39,37,4.9,Sunny,High,1,Snack,scooter,1,No,Metropolitian,19,6.210618493
40,32,4.1,Fog,Jam,1,Snack,motorcycle,3,No,Metropolitian,44,19.76079801
41,20,4.7,Sunny,High,1,Drinks,motorcycle,0,No,Urban,16,3.029440561
42,28,4.8,Windy,Low,1,Buffet,motorcycle,0,,Metropolitian,11,11.71980127
43,37,4.8,Windy,Jam,2,Snack,electric_scooter,1,No,Metropolitian,28,7.683177078
44,30,4.7,Stormy,Low,1,Meal,scooter,1,No,Metropolitian,18,12.1002876
45,34,4.7,Sunny,Jam,2,Meal,scooter,1,No,Urban,19,12.46396243
46,20,5,Fog,Medium,1,Snack,motorcycle,1,No,Metropolitian,14,6.146683594
47,22,4.7,Cloudy,Low,0,Buffet,motorcycle,1,No,Urban,19,7.562267472
48,39,4.1,Cloudy,High,1,Buffet,scooter,1,No,Metropolitian,33,6.03747419
49,26,4.8,Windy,Jam,2,Buffet,scooter,1,No,Metropolitian,24,13.78780334
50,31,4.8,Sandstorms,Medium,0,Snack,motorcycle,0,No,Metropolitian,44,13.97000799
51,35,4.5,Sunny,Medium,0,Drinks,motorcycle,0,No,Metropolitian,28,7.649506318
52,22,4.7,Sandstorms,High,1,Meal,motorcycle,0,No,Urban,19,6.037116127
53,38,4.8,Sunny,High,2,Drinks,scooter,0,No,Metropolitian,19,5.874630329
54,22,2.8,Sunny,Low,2,Snack,electric_scooter,1,No,Metropolitian,37,13.40635035
55,24,4.8,Cloudy,Medium,1,Buffet,scooter,1,No,Metropolitian,13,4.464795317
56,30,4.3,Sandstorms,Jam,0,Snack,motorcycle,1,No,Metropolitian,35,12.35257604
57,36,4.4,Cloudy,Medium,2,Meal,scooter,1,No,Metropolitian,42,10.42721501
58,38,4.6,Cloudy,Medium,0,Drinks,motorcycle,3,No,Metropolitian,46,20.25358438
59,34,5,Stormy,Low,2,Buffet,motorcycle,1,No,Metropolitian,20,16.63522338
60,24,4.7,Sunny,Medium,1,Drinks,scooter,1,No,Urban,12,7.342480856
61,21,5,Sunny,Jam,1,Meal,motorcycle,1,No,Urban,19,13.68092741
62,33,4.9,Sandstorms,Low,1,Buffet,motorcycle,1,No,Urban,24,14.02229596
63,30,4.8,Fog,Medium,0,Snack,motorcycle,1,No,Urban,27,6.242543106
64,22,4.7,Windy,Medium,2,Drinks,motorcycle,1,No,Urban,27,6.053660476
65,20,4.7,Fog,Medium,2,Snack,electric_scooter,0,No,Urban,10,6.051989448
66,25,4.7,Sunny,Jam,2,Snack,motorcycle,0,No,Metropolitian,10,13.76871851
67,25,4.9,Cloudy,Low,2,Snack,scooter,0,No,Urban,12,7.862668167
68,34,4.7,Stormy,Jam,0,Drinks,motorcycle,2,No,Metropolitian,41,17.13783008
69,21,4.7,Sandstorms,Low,0,Meal,motorcycle,1,No,Metropolitian,20,11.00773476
70,21,4.8,Windy,Jam,2,Meal,electric_scooter,0,No,Urban,12,7.562980272
71,22,4.6,Windy,Jam,2,Snack,scooter,1,No,Metropolitian,26,12.24349593
72,24,4.5,Cloudy,Low,1,Drinks,motorcycle,0,No,,16,1.52034889
73,28,4.6,Stormy,Medium,2,Buffet,electric_scooter,1,No,Metropolitian,19,14.02172651
74,27,5,Stormy,Jam,1,Meal,motorcycle,1,No,,23,20.88733123
75,23,4.6,Sandstorms,Jam,2,Buffet,motorcycle,1,No,Metropolitian,19,13.40723859
76,22,4.5,Sandstorms,Medium,0,Meal,motorcycle,1,No,Metropolitian,25,12.43580604
77,36,5,Sandstorms,Low,2,Meal,scooter,1,No,Urban,22,4.610133887
78,35,5,Sandstorms,Jam,1,Meal,motorcycle,0,No,Metropolitian,34,7.772466272
79,27,4.6,Fog,Low,0,Snack,motorcycle,1,No,Metropolitian,19,4.656811824
80,37,4.8,Stormy,Medium,2,Drinks,motorcycle,1,No,Metropolitian,30,7.646104748
81,33,4.7,Cloudy,Medium,0,Drinks,motorcycle,1,No,Metropolitian,29,9.088005113
82,33,4.9,Sunny,Jam,0,Buffet,motorcycle,1,No,Metropolitian,26,12.417116
83,30,5,Sunny,Jam,2,Buffet,scooter,1,No,Metropolitian,20,7.546781221
84,22,4.9,Cloudy,Medium,0,Meal,motorcycle,1,No,Metropolitian,30,10.88065083
85,,,,,3,Meal,electric_scooter,1,No,Metropolitian,33,9.326872529
86,30,4.1,Sandstorms,Low,0,Drinks,motorcycle,0,No,Metropolitian,24,1.520344725
87,36,4.9,Fog,Medium,1,Meal,motorcycle,1,No,Metropolitian,18,4.530125284
88,33,4.8,Sunny,Low,1,Meal,scooter,1,No,Metropolitian,13,7.562069972
89,30,4.8,Windy,Jam,2,Buffet,motorcycle,1,No,Urban,26,9.087937068
90,22,4.9,Sunny,Jam,2,Drinks,electric_scooter,,No,Metropolitian,24,20.17891692
91,34,4.7,Stormy,Low,0,Snack,motorcycle,0,No,Metropolitian,21,10.70930883
92,31,4.6,Sandstorms,High,0,Meal,motorcycle,1,No,Metropolitian,36,1.512600086
93,35,4.4,Fog,Medium,2,Snack,scooter,0,No,Metropolitian,37,10.59445883
94,33,4.7,Cloudy,Medium,0,Drinks,motorcycle,1,No,Metropolitian,41,12.58026782
95,,,Sandstorms,High,2,Drinks,scooter,1,No,Metropolitian,32,6.210864156
96,32,5,Cloudy,Medium,0,Drinks,motorcycle,0,No,Metropolitian,42,10.90625737
97,33,4.6,Sandstorms,Low,1,Drinks,scooter,0,No,Urban,20,7.573523734
98,24,4.9,Cloudy,Jam,1,Snack,scooter,2,No,Metropolitian,37,20.28649544
99,20,4.3,Sunny,High,0,Meal,motorcycle,0,No,Metropolitian,46,6.127835453
100,35,4.8,Sunny,Low,2,Buffet,electric_scooter,0,No,Metropolitian,12,9.326827803
101,28,4.3,Stormy,Low,0,Meal,motorcycle,1,No,Metropolitian,15,1.543962382
102,26,4.7,Cloudy,Medium,0,Drinks,motorcycle,2,No,Metropolitian,35,20.18093693
103,23,4.9,Cloudy,Jam,1,Buffet,scooter,0,No,Metropolitian,26,4.405611015
104,31,4.9,Fog,Medium,0,Buffet,motorcycle,0,No,Urban,35,12.25702135
105,29,4.5,Stormy,Jam,1,Snack,scooter,0,No,Urban,19,17.07362495
106,,,Fog,High,1,Snack,motorcycle,1,No,Metropolitian,31,1.536718753
107,39,4.6,Sunny,Jam,1,Snack,scooter,0,No,Metropolitian,20,7.761422437
108,21,4.8,Cloudy,Low,2,Meal,scooter,1,No,Metropolitian,18,3.105492717
109,26,4.9,Fog,Low,0,Snack,motorcycle,1,No,Metropolitian,23,1.572533727
110,29,4.7,Sandstorms,High,1,Drinks,scooter,0,,Metropolitian,11,1.529297692
111,34,4.5,Stormy,Low,0,Meal,motorcycle,1,No,Urban,26,16.38490093
112,30,4.6,Sunny,Jam,1,Meal,motorcycle,0,No,Metropolitian,17,7.562317945
113,34,4.8,Sunny,Jam,0,Meal,motorcycle,1,No,Metropolitian,20,7.763197145
114,33,4.7,Fog,Low,0,Meal,motorcycle,1,No,Metropolitian,35,10.4254751
115,23,4.8,Sunny,Jam,1,Drinks,scooter,1,No,Metropolitian,17,13.18326679
116,33,4.3,Windy,Low,0,Buffet,motorcycle,0,No,Metropolitian,27,3.029522222
117,23,4.6,Cloudy,Jam,1,Drinks,scooter,1,No,Metropolitian,32,14.02229828
118,31,5,Windy,High,2,Meal,scooter,1,No,Metropolitian,28,6.217860689
119,39,4.8,Cloudy,Medium,0,Snack,motorcycle,1,No,,34,4.544232357
120,20,4.7,Windy,Medium,2,Snack,electric_scooter,1,No,Urban,19,16.8253834
121,37,5,Sunny,Low,1,Meal,motorcycle,,No,Metropolitian,12,3.116127222
122,,,Stormy,Low,2,Snack,scooter,1,No,,14,16.7212881
123,31,4.8,Sunny,Jam,2,Buffet,electric_scooter,1,No,Metropolitian,27,12.58026782
124,22,4.7,Sandstorms,Low,2,Meal,scooter,1,No,Metropolitian,18,10.88093544
125,30,4.9,Windy,Low,2,Buffet,scooter,1,No,Metropolitian,25,13.76575692
126,38,4.7,Windy,Low,0,Meal,motorcycle,0,No,Metropolitian,26,19.36770197
127,34,4.1,Stormy,Jam,1,Buffet,scooter,0,No,Metropolitian,37,17.29786575
128,34,3.5,Sunny,Jam,2,Buffet,scooter,1,No,Metropolitian,31,10.5869531
129,28,4.8,Fog,Jam,1,Drinks,motorcycle,1,No,Metropolitian,40,12.41960204
130,27,5,Sunny,Jam,2,Meal,scooter,0,No,Urban,16,7.573523734
131,,,Fog,High,0,Drinks,motorcycle,1,No,Urban,28,6.037605712
132,22,4.3,Fog,Jam,1,Meal,scooter,0,No,Metropolitian,42,14.15280069
133,31,4.1,Cloudy,Jam,2,Drinks,motorcycle,1,No,Metropolitian,41,12.10651132
134,35,5,Cloudy,High,2,Meal,electric_scooter,1,No,Metropolitian,28,1.572533727
135,30,4.7,Sandstorms,High,2,Buffet,motorcycle,1,No,Urban,32,1.532288557
136,35,4,Stormy,Medium,2,Drinks,electric_scooter,0,No,Metropolitian,32,7.7725232
137,35,4.8,Fog,Jam,2,Meal,scooter,1,No,Metropolitian,38,12.41800992
138,24,4.7,Windy,Medium,2,Buffet,motorcycle,,No,Metropolitian,28,9.312838467
139,36,4.5,Fog,Jam,0,Drinks,motorcycle,1,No,Metropolitian,49,12.16230614
140,27,5,Windy,Low,0,Buffet,motorcycle,1,No,Urban,23,10.9060585
141,39,4.8,Sandstorms,Medium,2,Snack,scooter,0,No,Metropolitian,27,16.90290998
142,22,4,Stormy,Medium,0,Drinks,motorcycle,0,No,Metropolitian,32,10.90628904
143,39,4.4,Windy,Jam,0,Drinks,motorcycle,3,Yes,Metropolitian,54,13.58307866
144,29,4.9,Stormy,Low,1,Snack,motorcycle,1,No,Urban,11,12.58026782
145,39,4.1,Windy,Jam,2,Drinks,electric_scooter,1,No,Metropolitian,33,4.674184358
146,34,4.6,Cloudy,Low,0,Snack,motorcycle,1,No,Metropolitian,29,1.536828543
147,36,4.5,Sunny,High,2,Drinks,scooter,1,No,Urban,15,1.520469665
148,35,4.9,Sunny,Jam,2,Snack,electric_scooter,0,No,Urban,19,4.590769055
149,27,4.5,Sandstorms,Low,1,Drinks,scooter,0,No,Metropolitian,11,4.494207464
150,29,2.6,Sunny,Low,2,Buffet,electric_scooter,1,No,Metropolitian,31,16.4127468
151,,,Fog,Low,1,Buffet,motorcycle,1,No,Urban,30,20.18248261
152,30,4.3,Stormy,Medium,0,Drinks,motorcycle,0,No,Metropolitian,36,19.36342948
153,23,5,Stormy,Low,1,Meal,motorcycle,1,No,Urban,17,1.509357767
154,23,4.8,Cloudy,High,0,Drinks,motorcycle,1,No,Metropolitian,22,6.11847118
155,32,4.8,Sandstorms,Jam,1,Drinks,motorcycle,1,No,Metropolitian,29,4.610120318
156,26,4.2,Stormy,Low,0,Buffet,motorcycle,1,No,Metropolitian,29,3.116238559
157,25,4.3,Windy,Medium,0,Meal,motorcycle,,No,,38,13.97214133
158,36,4.6,Sandstorms,High,1,Buffet,motorcycle,0,No,Metropolitian,30,1.554619808
159,23,4.6,Sandstorms,Jam,2,Meal,motorcycle,0,No,Metropolitian,20,20.18272811
160,24,4.6,Windy,Low,1,Drinks,scooter,1,No,Urban,16,1.489780666
161,26,4.6,Stormy,Jam,2,Buffet,scooter,1,No,Metropolitian,23,10.86728524
162,36,4.7,Stormy,Low,0,Buffet,motorcycle,1,No,Metropolitian,23,19.97591692
163,31,5,Stormy,Jam,2,Snack,scooter,1,No,Metropolitian,34,7.790160607
164,37,4.2,Cloudy,Jam,0,Drinks,motorcycle,0,No,Metropolitian,34,9.075352487
165,38,4.8,Cloudy,Low,1,Snack,scooter,1,No,Metropolitian,25,13.61244755
166,26,4.6,Windy,Jam,0,Drinks,motorcycle,0,No,Metropolitian,16,7.573225614
167,20,4.9,Fog,Low,2,Meal,motorcycle,0,No,Urban,14,7.772618959
168,26,4.9,Cloudy,Jam,0,Meal,motorcycle,2,No,Metropolitian,42,4434.919719
169,35,4.4,Windy,Low,0,Drinks,motorcycle,0,No,Metropolitian,20,3.05275116
170,34,4.4,Cloudy,High,1,Snack,scooter,1,No,Metropolitian,39,6.232472211
171,22,4.9,Stormy,Medium,2,Buffet,electric_scooter,1,No,Metropolitian,20,6.147404653
172,25,4.5,Sunny,Jam,2,Drinks,motorcycle,0,No,Metropolitian,11,9.088011034
173,36,4.7,Sandstorms,Medium,2,Meal,scooter,0,No,Urban,28,4.596951629
174,34,4.7,Cloudy,Jam,2,Drinks,electric_scooter,2,Yes,Urban,41,10.86626186
175,37,4.8,Sunny,Low,1,Meal,scooter,1,No,Urban,29,16.82205655
176,26,4.8,Cloudy,Low,2,Buffet,scooter,1,No,Urban,16,3.109024398
177,28,4.2,Sunny,Jam,0,Meal,motorcycle,3,No,Metropolitian,49,7.761284984
178,25,4.7,Fog,Low,1,Buffet,motorcycle,0,,Metropolitian,10,3.019792717
179,32,4.9,Sunny,Low,2,Snack,motorcycle,1,No,,17,16.60831404
180,26,4.7,Cloudy,Medium,1,Drinks,motorcycle,1,No,Metropolitian,28,12.23868635
181,37,4.9,Sandstorms,Low,1,Buffet,motorcycle,1,No,Urban,15,19.97528686
182,31,4.7,Windy,Jam,0,Snack,motorcycle,0,No,Metropolitian,47,7.448318247
183,27,4.7,Stormy,Jam,2,Drinks,scooter,1,No,Metropolitian,15,10.88107785
184,39,4.8,Sunny,Jam,0,Drinks,motorcycle,1,No,Metropolitian,24,7.762635435
185,28,4.9,Stormy,Low,2,Snack,scooter,0,No,Urban,15,4.717601092
186,28,4.8,Cloudy,Medium,0,Drinks,motorcycle,1,No,Metropolitian,33,12.16113135
187,26,4.5,Cloudy,Jam,1,Snack,motorcycle,1,No,Metropolitian,26,9.326940869
188,39,4.3,Sandstorms,Low,0,Buffet,motorcycle,0,No,,22,1.55242901
189,26,4.5,Sandstorms,Jam,2,Drinks,motorcycle,1,No,Urban,14,7.772096241
190,30,3.7,Sandstorms,Jam,2,Meal,scooter,1,No,Metropolitian,33,12.25711823
191,33,4.4,Cloudy,Jam,2,Snack,scooter,0,No,Metropolitian,48,16.65997913
192,27,4.9,Stormy,Medium,1,Snack,scooter,1,No,Metropolitian,26,19.39597977
193,37,4.9,Sandstorms,High,2,Snack,scooter,0,No,Metropolitian,26,1.529162763
194,27,4.2,Sandstorms,Low,0,Meal,motorcycle,1,No,Metropolitian,24,3.105049192
195,39,4.8,Sandstorms,Medium,1,Drinks,scooter,0,No,Metropolitian,25,19.65985148
196,28,4.4,Sandstorms,Low,0,Meal,motorcycle,1,No,Urban,15,3.029537388
197,34,3.7,Fog,Low,1,Meal,motorcycle,2,No,Metropolitian,33,13.97318265
198,31,4.6,Fog,Low,2,Snack,electric_scooter,1,No,Metropolitian,15,3.059607072
199,38,4.9,Fog,Jam,1,Snack,motorcycle,0,No,Metropolitian,31,7.325299567
200,34,4.8,Stormy,Low,2,Buffet,motorcycle,1,No,Metropolitian,23,1.532126282
201,,,,,3,Snack,electric_scooter,2,No,Urban,40,10.75641555
202,,,Cloudy,Medium,1,Snack,scooter,1,No,Urban,19,7.761350405
203,37,4.4,Sunny,Medium,0,Snack,motorcycle,1,No,Metropolitian,39,12.29367767
204,28,4.9,Windy,Low,0,Snack,motorcycle,1,No,Metropolitian,15,16.63705438
205,37,4.5,Fog,Jam,0,Meal,motorcycle,2,No,Metropolitian,51,16.8253834
206,37,4.9,Sandstorms,Jam,1,Buffet,motorcycle,1,No,Urban,29,14.15280069
207,37,4.6,Windy,High,2,Snack,scooter,1,No,Metropolitian,25,1.513644368
208,22,4.8,Stormy,Low,2,Meal,motorcycle,0,No,Metropolitian,19,2.97952105
209,39,4.7,Cloudy,Low,0,Drinks,motorcycle,1,No,Metropolitian,21,4.544232357
210,26,4.8,Windy,Low,2,Snack,scooter,0,No,Metropolitian,19,16.63859018
211,35,4.3,Windy,Medium,0,Buffet,motorcycle,1,No,Metropolitian,46,10.86742126
212,30,4.8,Cloudy,Medium,0,Drinks,motorcycle,0,No,Metropolitian,27,4.657654937
213,27,4.7,Fog,Medium,0,Buffet,motorcycle,1,No,Urban,28,4.537394871
214,30,4.6,Stormy,Jam,0,Buffet,motorcycle,3,Yes,Metropolitian,54,16.60036113
215,30,5,Fog,High,0,Snack,motorcycle,0,No,Metropolitian,27,6.146633646
216,23,4.6,Fog,High,1,Buffet,motorcycle,2,No,Metropolitian,33,3.087888624
217,32,4.7,Fog,Jam,1,Buffet,scooter,1,No,Metropolitian,29,7.790160607
218,31,4.8,Cloudy,Low,1,Meal,motorcycle,1,No,Metropolitian,15,1.514781403
219,32,4.7,Windy,Medium,1,Meal,motorcycle,0,No,Metropolitian,25,19.47203328
220,20,4.9,Stormy,Low,1,Meal,motorcycle,1,No,Urban,11,3.145067435
221,24,4.8,Stormy,Medium,1,Snack,scooter,0,No,Urban,25,7.772466272
222,37,4.5,Fog,Low,2,Meal,motorcycle,1,No,Metropolitian,16,1.512697809
223,27,4.5,Stormy,Jam,1,Drinks,motorcycle,1,No,Metropolitian,15,20.25296785
224,20,4.9,Stormy,Jam,1,Drinks,scooter,1,No,Metropolitian,22,7.56485991
225,36,4.7,Fog,Jam,0,Buffet,motorcycle,1,Yes,Urban,45,13.76377859
226,24,4.9,Windy,Low,2,Drinks,scooter,,No,Urban,11,4.528570754
227,28,4.6,Sandstorms,Low,2,Buffet,scooter,0,No,Urban,10,13.40589202
228,32,4.7,Windy,Low,1,Snack,scooter,1,No,Metropolitian,26,1.554514379
229,33,4.7,Cloudy,Low,0,Drinks,motorcycle,0,No,Metropolitian,24,1.552556982
230,21,4.7,Cloudy,Jam,2,Buffet,scooter,1,No,Metropolitian,44,11.91659506
231,38,4.7,Cloudy,Low,2,Drinks,motorcycle,1,No,Urban,28,20.17891692
232,28,4.7,Windy,Jam,1,Drinks,scooter,1,No,Urban,26,4.539068203
233,36,4.9,Sandstorms,Jam,0,Meal,motorcycle,1,No,Urban,36,12.4639701
234,26,4.7,Fog,Jam,0,Meal,motorcycle,1,No,Metropolitian,27,7.683608397
235,30,4.6,Cloudy,Low,0,Meal,motorcycle,0,No,Metropolitian,20,3.064267072
236,23,4.9,Sunny,Low,0,Buffet,motorcycle,,No,Metropolitian,26,13.61583346
237,38,4.8,Sunny,Jam,0,Snack,motorcycle,1,No,Metropolitian,20,4.537940846
238,33,4.7,Fog,Medium,2,Snack,motorcycle,0,No,Metropolitian,17,9.074684164
239,28,4.9,Stormy,High,0,Meal,motorcycle,1,No,Urban,22,6.053489441
240,28,4.8,Stormy,Low,2,Drinks,electric_scooter,1,No,Metropolitian,16,3.025279773
241,22,4.9,Cloudy,Low,2,Meal,scooter,1,No,Metropolitian,22,17.13749143
242,27,4.8,Cloudy,Low,0,Drinks,motorcycle,1,No,Metropolitian,21,3.040891554
243,20,4.4,Fog,Jam,1,Meal,scooter,2,No,,32,13.58233749
244,25,4.4,Stormy,Low,0,Meal,motorcycle,1,No,Metropolitian,23,3.058697315
245,21,4.3,Windy,Low,0,Snack,motorcycle,1,No,Metropolitian,28,9.088078142
246,29,5,Fog,Medium,1,Drinks,motorcycle,,No,Urban,30,19.68855301
247,34,4.8,Cloudy,Jam,2,Buffet,motorcycle,1,No,Metropolitian,42,16.85244461
248,22,4.9,Cloudy,Low,0,Drinks,motorcycle,0,No,Metropolitian,21,16.47656243
249,27,4.5,Cloudy,Medium,1,Snack,scooter,1,No,Urban,11,9.181151801
250,26,4.8,Windy,Low,2,Drinks,electric_scooter,0,No,Metropolitian,18,3.105095438
251,22,4.6,Fog,Jam,0,Snack,motorcycle,1,No,Metropolitian,35,13.97219459
252,20,4.7,Sandstorms,Low,2,Meal,scooter,0,No,Metropolitian,17,3413.453269
253,37,4.6,Windy,Jam,1,Snack,motorcycle,1,No,Metropolitian,32,7.761780026
254,35,4,Stormy,High,0,Meal,motorcycle,1,No,Metropolitian,31,1.55811936
255,39,4.6,Cloudy,Jam,0,Meal,motorcycle,2,Yes,Metropolitian,50,12.41768756
256,25,4,Cloudy,Jam,1,Buffet,scooter,1,No,Metropolitian,33,16.11346982
257,20,4.9,Sandstorms,Low,0,Meal,motorcycle,1,No,Metropolitian,20,17.13829579
258,30,4.8,Sunny,Low,1,Drinks,motorcycle,,No,Metropolitian,12,3.104435398
259,25,4.8,Sunny,Low,1,Buffet,motorcycle,0,No,Urban,16,1.55242901
260,24,4.9,Sunny,Medium,2,Drinks,scooter,0,No,Metropolitian,12,20.17903305
261,24,4.6,Windy,Medium,2,Snack,electric_scooter,0,No,Urban,24,12.41960204
262,,,Stormy,Jam,2,Drinks,scooter,1,No,Metropolitian,26,4.663439017
263,26,4.8,Sandstorms,Jam,0,Snack,motorcycle,1,No,Metropolitian,28,12.16161548
264,30,4.5,Fog,Low,1,Drinks,motorcycle,1,No,Metropolitian,31,13.97372749
265,26,5,Windy,Medium,2,Drinks,scooter,1,No,Metropolitian,24,6.290134678
266,33,4.2,Cloudy,Jam,2,Meal,motorcycle,1,No,Metropolitian,39,4.469620875
267,30,5,Stormy,Low,1,Meal,scooter,1,No,Metropolitian,24,3.064404728
268,39,4.1,Stormy,Jam,2,Meal,scooter,3,Yes,Metropolitian,42,19.83962568
269,36,4.9,Fog,Jam,2,Buffet,electric_scooter,1,No,Metropolitian,41,20.28676947
270,24,4.3,Stormy,High,0,Buffet,motorcycle,0,No,Metropolitian,37,6.037529176
271,32,4.7,Windy,Low,0,Meal,motorcycle,1,No,Urban,29,19.89051422
272,20,5,Sandstorms,Low,1,Snack,motorcycle,,No,Metropolitian,10,10.42723566
273,22,5,Sunny,Jam,2,Snack,scooter,0,No,Metropolitian,17,4.4766794
274,35,4.3,Stormy,Low,0,Meal,motorcycle,1,No,Urban,24,2.980249386
275,37,4.6,Windy,Medium,0,Snack,motorcycle,0,No,Urban,29,7.772207464
276,25,5,Stormy,Jam,2,Buffet,scooter,1,No,,20,20.50692085
277,35,4.3,Stormy,High,0,Buffet,motorcycle,1,No,Metropolitian,36,6.128757702
278,23,4.9,Cloudy,Low,1,Buffet,scooter,1,No,Urban,12,7.862668167
279,35,4.6,Sunny,Jam,0,Buffet,motorcycle,1,No,Metropolitian,33,20.17829858
280,39,4.9,Stormy,Low,1,Buffet,scooter,0,No,Metropolitian,20,9.313300003
281,38,4.9,Sunny,Medium,2,Snack,scooter,0,No,Urban,22,6.040455612
282,32,4.9,Sandstorms,Jam,1,Snack,scooter,1,No,Urban,27,11.916705
283,31,4.7,Fog,Low,1,Snack,scooter,1,No,Urban,30,20.85342649
284,33,4.9,Sunny,Jam,1,Drinks,motorcycle,1,No,Metropolitian,16,4.470286489
285,27,4.7,Fog,Low,0,Buffet,motorcycle,0,No,Metropolitian,22,3.116212742
286,28,4.3,Fog,Jam,1,Drinks,scooter,1,No,Metropolitian,40,19.8899783
287,30,4.9,Cloudy,Jam,0,Drinks,motorcycle,1,No,Metropolitian,42,17.07747121
288,36,4.7,Fog,Medium,2,Drinks,scooter,0,No,Urban,19,9.219123567
289,33,4.1,Cloudy,Medium,2,Drinks,scooter,1,No,Metropolitian,38,20.18093693
290,34,4.8,Cloudy,Medium,0,Drinks,motorcycle,1,No,Urban,25,7.772596236
291,33,4.5,Stormy,Low,2,Buffet,scooter,0,No,Metropolitian,17,13.61156672
292,30,4.6,Sunny,Low,0,Snack,motorcycle,0,No,Metropolitian,26,14.02323208
293,23,5,Fog,Medium,2,Meal,electric_scooter,1,No,Metropolitian,28,10.80810834
294,20,4.8,Sandstorms,Low,2,Meal,motorcycle,0,No,Urban,10,7.862668167
295,25,4.9,Fog,High,1,Buffet,motorcycle,0,No,Metropolitian,24,1.552293343
296,22,4.7,Stormy,Jam,2,Meal,electric_scooter,0,No,Metropolitian,16,17.09838856
297,37,5,Stormy,Low,1,Drinks,scooter,1,No,Metropolitian,19,14.02181925
298,31,4.8,Fog,Low,0,Snack,motorcycle,0,No,Metropolitian,22,2.996242009
